Results After 1000 Battles:		Battle Time: 2024-12-12 11:07:26

Battle 1: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 626: Attacker Dice: [4, 4], Defender Dice: [5, 2], Outcome: Draw
Battle 627: Attacker Dice: [4, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 628: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 629: Attacker Dice: [4, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 630: Attacker Dice: [6, 2], Defender Dice: [5, 4], Outcome: Draw
Battle 631: Attacker Dice: [5, 4], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 632: Attacker Dice: [6, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 633: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 634: Attacker Dice: [5, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 635: Attacker Dice: [4, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 636: Attacker Dice: [6, 5], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 637: Attacker Dice: [2, 1], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 638: Attacker Dice: [5, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 639: Attacker Dice: [6, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 640: Attacker Dice: [4, 1], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 641: Attacker Dice: [6, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 642: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 643: Attacker Dice: [5, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 644: Attacker Dice: [4, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 645: Attacker Dice: [6, 3], Defender Dice: [4, 3], Outcome: Draw
Battle 646: Attacker Dice: [6, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 647: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 648: Attacker Dice: [6, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 649: Attacker Dice: [5, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 650: Attacker Dice: [6, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 651: Attacker Dice: [4, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 652: Attacker Dice: [3, 2], Defender Dice: [4, 1], Outcome: Draw
Battle 653: Attacker Dice: [6, 5], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 654: Attacker Dice: [5, 5], Defender Dice: [5, 3], Outcome: Draw
Battle 655: Attacker Dice: [4, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 656: Attacker Dice: [4, 2], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 657: Attacker Dice: [1, 1], Defender Dice: [3, 2], Outcome: Defender Wins
Battle 658: Attacker Dice: [5, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 659: Attacker Dice: [6, 5], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 660: Attacker Dice: [4, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 661: Attacker Dice: [2, 2], Defender Dice: [2, 2], Outcome: Defender Wins
Battle 662: Attacker Dice: [6, 6], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 663: Attacker Dice: [6, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 664: Attacker Dice: [4, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 665: Attacker Dice: [6, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 666: Attacker Dice: [5, 2], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 667: Attacker Dice: [6, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 668: Attacker Dice: [6, 5], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 669: Attacker Dice: [6, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 670: Attacker Dice: [5, 4], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 671: Attacker Dice: [6, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 672: Attacker Dice: [6, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 673: Attacker Dice: [6, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 674: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 675: Attacker Dice: [5, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 676: Attacker Dice: [6, 2], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 677: Attacker Dice: [6, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 678: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 679: Attacker Dice: [3, 3], Defender Dice: [3, 1], Outcome: Draw
Battle 680: Attacker Dice: [4, 1], Defender Dice: [3, 3], Outcome: Draw
Battle 681: Attacker Dice: [4, 1], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 682: Attacker Dice: [4, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 683: Attacker Dice: [5, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 684: Attacker Dice: [4, 3], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 685: Attacker Dice: [5, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 686: Attacker Dice: [3, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 687: Attacker Dice: [4, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 688: Attacker Dice: [6, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 689: Attacker Dice: [6, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 690: Attacker Dice: [3, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 691: Attacker Dice: [6, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 692: Attacker Dice: [6, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 693: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 694: Attacker Dice: [6, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 695: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 696: Attacker Dice: [6, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 697: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 698: Attacker Dice: [4, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 699: Attacker Dice: [6, 2], Defender Dice: [4, 3], Outcome: Draw
Battle 700: Attacker Dice: [5, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 701: Attacker Dice: [6, 2], Defender Dice: [3, 2], Outcome: Draw
Battle 702: Attacker Dice: [5, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 703: Attacker Dice: [5, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 704: Attacker Dice: [6, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 705: Attacker Dice: [6, 6], Defender Dice: [4, 4], Outcome: Attacker Wins
Battle 706: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 707: Attacker Dice: [5, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 708: Attacker Dice: [5, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 709: Attacker Dice: [6, 6], Defender Dice: [6, 5], Outcome: Draw
Battle 710: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 711: Attacker Dice: [5, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 712: Attacker Dice: [6, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 713: Attacker Dice: [6, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 714: Attacker Dice: [4, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 715: Attacker Dice: [2, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 716: Attacker Dice: [6, 4], Defender Dice: [5, 5], Outcome: Draw
Battle 717: Attacker Dice: [6, 5], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 718: Attacker Dice: [6, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 719: Attacker Dice: [5, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 720: Attacker Dice: [6, 5], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 721: Attacker Dice: [5, 3], Defender Dice: [4, 3], Outcome: Draw
Battle 722: Attacker Dice: [6, 6], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 723: Attacker Dice: [4, 4], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 724: Attacker Dice: [6, 2], Defender Dice: [5, 3], Outcome: Draw
Battle 725: Attacker Dice: [5, 3], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 726: Attacker Dice: [5, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 727: Attacker Dice: [6, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 728: Attacker Dice: [6, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 729: Attacker Dice: [5, 4], Defender Dice: [5, 2], Outcome: Draw
Battle 730: Attacker Dice: [4, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 731: Attacker Dice: [6, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 732: Attacker Dice: [6, 3], Defender Dice: [5, 3], Outcome: Draw
Battle 733: Attacker Dice: [4, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 734: Attacker Dice: [4, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 735: Attacker Dice: [6, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 736: Attacker Dice: [4, 3], Defender Dice: [5, 2], Outcome: Draw
Battle 737: Attacker Dice: [4, 2], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 738: Attacker Dice: [6, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 739: Attacker Dice: [4, 2], Defender Dice: [6, 1], Outcome: Draw
Battle 740: Attacker Dice: [5, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 741: Attacker Dice: [5, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 742: Attacker Dice: [4, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 743: Attacker Dice: [6, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 744: Attacker Dice: [6, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 745: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 746: Attacker Dice: [5, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 747: Attacker Dice: [3, 3], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 748: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 749: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 750: Attacker Dice: [6, 5], Defender Dice: [5, 5], Outcome: Draw
Battle 751: Attacker Dice: [2, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 752: Attacker Dice: [5, 3], Defender Dice: [4, 4], Outcome: Draw
Battle 753: Attacker Dice: [3, 1], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 754: Attacker Dice: [5, 4], Defender Dice: [6, 1], Outcome: Draw
Battle 755: Attacker Dice: [5, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 756: Attacker Dice: [4, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 757: Attacker Dice: [6, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 758: Attacker Dice: [5, 4], Defender Dice: [5, 1], Outcome: Draw
Battle 759: Attacker Dice: [6, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 760: Attacker Dice: [3, 2], Defender Dice: [6, 2], Outcome: Defender Wins
Battle 761: Attacker Dice: [2, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 762: Attacker Dice: [6, 6], Defender Dice: [6, 5], Outcome: Draw
Battle 763: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 764: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 765: Attacker Dice: [5, 2], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 766: Attacker Dice: [6, 6], Defender Dice: [6, 5], Outcome: Draw
Battle 767: Attacker Dice: [3, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 768: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 769: Attacker Dice: [4, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 770: Attacker Dice: [4, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 771: Attacker Dice: [6, 4], Defender Dice: [5, 4], Outcome: Draw
Battle 772: Attacker Dice: [5, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 773: Attacker Dice: [5, 1], Defender Dice: [5, 1], Outcome: Defender Wins
Battle 774: Attacker Dice: [5, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 775: Attacker Dice: [4, 2], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 776: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 777: Attacker Dice: [5, 2], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 778: Attacker Dice: [4, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 779: Attacker Dice: [6, 5], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 780: Attacker Dice: [5, 5], Defender Dice: [5, 1], Outcome: Draw
Battle 781: Attacker Dice: [3, 3], Defender Dice: [3, 1], Outcome: Draw
Battle 782: Attacker Dice: [6, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 783: Attacker Dice: [6, 6], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 784: Attacker Dice: [6, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 785: Attacker Dice: [5, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 786: Attacker Dice: [5, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 787: Attacker Dice: [6, 5], Defender Dice: [4, 4], Outcome: Attacker Wins
Battle 788: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 789: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 790: Attacker Dice: [4, 4], Defender Dice: [4, 2], Outcome: Draw
Battle 791: Attacker Dice: [6, 6], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 792: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 793: Attacker Dice: [6, 2], Defender Dice: [4, 3], Outcome: Draw
Battle 794: Attacker Dice: [2, 2], Defender Dice: [3, 2], Outcome: Defender Wins
Battle 795: Attacker Dice: [3, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 796: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 797: Attacker Dice: [5, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 798: Attacker Dice: [6, 6], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 799: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 800: Attacker Dice: [5, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 801: Attacker Dice: [5, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 802: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 803: Attacker Dice: [6, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 804: Attacker Dice: [6, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 805: Attacker Dice: [5, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 806: Attacker Dice: [4, 4], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 807: Attacker Dice: [4, 2], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 808: Attacker Dice: [5, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 809: Attacker Dice: [2, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 810: Attacker Dice: [4, 4], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 811: Attacker Dice: [6, 2], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 812: Attacker Dice: [4, 4], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 813: Attacker Dice: [6, 6], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 814: Attacker Dice: [5, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 815: Attacker Dice: [6, 5], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 816: Attacker Dice: [5, 4], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 817: Attacker Dice: [3, 2], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 818: Attacker Dice: [6, 6], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 819: Attacker Dice: [6, 5], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 820: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 821: Attacker Dice: [4, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 822: Attacker Dice: [3, 2], Defender Dice: [5, 3], Outcome: Defender Wins
Battle 823: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 824: Attacker Dice: [5, 3], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 825: Attacker Dice: [5, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 826: Attacker Dice: [5, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 827: Attacker Dice: [5, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 828: Attacker Dice: [6, 5], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 829: Attacker Dice: [5, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 830: Attacker Dice: [6, 3], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 831: Attacker Dice: [6, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 832: Attacker Dice: [5, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 833: Attacker Dice: [6, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 834: Attacker Dice: [5, 4], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 835: Attacker Dice: [5, 5], Defender Dice: [5, 2], Outcome: Draw
Battle 836: Attacker Dice: [3, 2], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 837: Attacker Dice: [3, 2], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 838: Attacker Dice: [2, 1], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 839: Attacker Dice: [6, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 840: Attacker Dice: [4, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 841: Attacker Dice: [2, 2], Defender Dice: [3, 1], Outcome: Draw
Battle 842: Attacker Dice: [4, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 843: Attacker Dice: [6, 5], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 844: Attacker Dice: [5, 4], Defender Dice: [5, 5], Outcome: Defender Wins
Battle 845: Attacker Dice: [4, 4], Defender Dice: [4, 3], Outcome: Draw
Battle 846: Attacker Dice: [3, 3], Defender Dice: [4, 2], Outcome: Draw
Battle 847: Attacker Dice: [2, 1], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 848: Attacker Dice: [6, 6], Defender Dice: [6, 1], Outcome: Draw
Battle 849: Attacker Dice: [5, 4], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 850: Attacker Dice: [4, 4], Defender Dice: [4, 1], Outcome: Draw
Battle 851: Attacker Dice: [5, 2], Defender Dice: [5, 2], Outcome: Defender Wins
Battle 852: Attacker Dice: [3, 3], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 853: Attacker Dice: [5, 2], Defender Dice: [4, 3], Outcome: Draw
Battle 854: Attacker Dice: [6, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 855: Attacker Dice: [6, 5], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 856: Attacker Dice: [6, 5], Defender Dice: [5, 5], Outcome: Draw
Battle 857: Attacker Dice: [3, 3], Defender Dice: [4, 1], Outcome: Draw
Battle 858: Attacker Dice: [5, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 859: Attacker Dice: [5, 4], Defender Dice: [5, 3], Outcome: Draw
Battle 860: Attacker Dice: [4, 1], Defender Dice: [3, 2], Outcome: Draw
Battle 861: Attacker Dice: [3, 2], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 862: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 863: Attacker Dice: [6, 2], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 864: Attacker Dice: [6, 4], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 865: Attacker Dice: [4, 3], Defender Dice: [5, 1], Outcome: Draw
Battle 866: Attacker Dice: [5, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 867: Attacker Dice: [6, 5], Defender Dice: [5, 3], Outcome: Attacker Wins
Battle 868: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 869: Attacker Dice: [3, 2], Defender Dice: [4, 2], Outcome: Defender Wins
Battle 870: Attacker Dice: [4, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 871: Attacker Dice: [6, 5], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 872: Attacker Dice: [3, 1], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 873: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 874: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 875: Attacker Dice: [5, 3], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 876: Attacker Dice: [5, 1], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 877: Attacker Dice: [6, 1], Defender Dice: [6, 1], Outcome: Defender Wins
Battle 878: Attacker Dice: [6, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 879: Attacker Dice: [6, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 880: Attacker Dice: [6, 3], Defender Dice: [4, 3], Outcome: Draw
Battle 881: Attacker Dice: [5, 4], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 882: Attacker Dice: [5, 4], Defender Dice: [3, 3], Outcome: Attacker Wins
Battle 883: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 884: Attacker Dice: [5, 4], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 885: Attacker Dice: [6, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 886: Attacker Dice: [5, 4], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 887: Attacker Dice: [6, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 888: Attacker Dice: [6, 4], Defender Dice: [5, 1], Outcome: Attacker Wins
Battle 889: Attacker Dice: [6, 3], Defender Dice: [2, 2], Outcome: Attacker Wins
Battle 890: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 891: Attacker Dice: [5, 2], Defender Dice: [4, 3], Outcome: Draw
Battle 892: Attacker Dice: [5, 4], Defender Dice: [6, 2], Outcome: Draw
Battle 893: Attacker Dice: [6, 5], Defender Dice: [6, 2], Outcome: Draw
Battle 894: Attacker Dice: [6, 3], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 895: Attacker Dice: [5, 2], Defender Dice: [6, 3], Outcome: Defender Wins
Battle 896: Attacker Dice: [6, 1], Defender Dice: [5, 3], Outcome: Draw
Battle 897: Attacker Dice: [6, 5], Defender Dice: [4, 1], Outcome: Attacker Wins
Battle 898: Attacker Dice: [6, 6], Defender Dice: [5, 4], Outcome: Attacker Wins
Battle 899: Attacker Dice: [2, 1], Defender Dice: [3, 3], Outcome: Defender Wins
Battle 900: Attacker Dice: [6, 6], Defender Dice: [6, 4], Outcome: Draw
Battle 901: Attacker Dice: [4, 4], Defender Dice: [6, 3], Outcome: Draw
Battle 902: Attacker Dice: [6, 3], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 903: Attacker Dice: [6, 4], Defender Dice: [5, 5], Outcome: Draw
Battle 904: Attacker Dice: [3, 2], Defender Dice: [5, 1], Outcome: Draw
Battle 905: Attacker Dice: [6, 6], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 906: Attacker Dice: [6, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 907: Attacker Dice: [5, 3], Defender Dice: [6, 1], Outcome: Draw
Battle 908: Attacker Dice: [5, 5], Defender Dice: [5, 2], Outcome: Draw
Battle 909: Attacker Dice: [5, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 910: Attacker Dice: [6, 5], Defender Dice: [6, 5], Outcome: Defender Wins
Battle 911: Attacker Dice: [5, 4], Defender Dice: [4, 4], Outcome: Draw
Battle 912: Attacker Dice: [6, 5], Defender Dice: [6, 3], Outcome: Draw
Battle 913: Attacker Dice: [5, 4], Defender Dice: [1, 1], Outcome: Attacker Wins
Battle 914: Attacker Dice: [4, 3], Defender Dice: [6, 2], Outcome: Draw
Battle 915: Attacker Dice: [6, 3], Defender Dice: [4, 2], Outcome: Attacker Wins
Battle 916: Attacker Dice: [6, 6], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 917: Attacker Dice: [6, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 918: Attacker Dice: [5, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 919: Attacker Dice: [3, 3], Defender Dice: [4, 4], Outcome: Defender Wins
Battle 920: Attacker Dice: [6, 3], Defender Dice: [3, 3], Outcome: Draw
Battle 921: Attacker Dice: [6, 4], Defender Dice: [5, 2], Outcome: Attacker Wins
Battle 922: Attacker Dice: [3, 1], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 923: Attacker Dice: [6, 5], Defender Dice: [6, 1], Outcome: Draw
Battle 924: Attacker Dice: [3, 2], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 925: Attacker Dice: [6, 6], Defender Dice: [2, 1], Outcome: Attacker Wins
Battle 926: Attacker Dice: [6, 3], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 927: Attacker Dice: [4, 4], Defender Dice: [6, 4], Outcome: Defender Wins
Battle 928: Attacker Dice: [5, 5], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 929: Attacker Dice: [2, 2], Defender Dice: [4, 3], Outcome: Defender Wins
Battle 930: Attacker Dice: [5, 4], Defender Dice: [4, 3], Outcome: Attacker Wins
Battle 931: Attacker Dice: [5, 1], Defender Dice: [2, 1], Outcome: Draw
Battle 932: Attacker Dice: [5, 4], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 933: Attacker Dice: [6, 2], Defender Dice: [5, 4], Outcome: Draw
Battle 934: Attacker Dice: [5, 3], Defender Dice: [3, 2], Outcome: Attacker Wins
Battle 935: Attacker Dice: [5, 5], Defender Dice: [3, 1], Outcome: Attacker Wins
Battle 936: Attacker Dice: [5, 5], Defender Dice: [6, 4], Outcome: Draw
Battle 937: Attacker Dice: [4, 3], Defender Dice: [5, 4], Outcome: Defender Wins
Battle 938: Attacker Dice: [6, 3], Defender Dice: [6, 6], Outcome: Defender Wins
Battle 939: Attacker Dice: [6, 3], Defender Dice: [6, 1], Outcome: Draw
